,Course Name,Reviewer Name,Date of Review,Review Content,Rating Star
0,Cloud SQL for MySQL: Qwik Start by Google Cloud,Grant W,"May 3, 2022",Enjoyable and easy learning,5
1,Cloud SQL for MySQL: Qwik Start by Google Cloud,Justin H,"Sep 14, 2023",brutal,5
2,Cloud SQL for MySQL: Qwik Start by Google Cloud,Thales A,"Mar 3, 2024",Too simple,1
3,Cloud SQL for MySQL: Qwik Start by Google Cloud,Jorge T,"Dec 13, 2022",too basic,1
4,Unsupervised Algorithms in Machine Learning by University of Colorado Boulder,Hidetake T,"Mar 31, 2023",so hard,5
5,Data for Machine Learning by Alberta Machine Intelligence Institute,Emil K,"Mar 22, 2020","The instructor is great, but please fix the programming assignment! There are so many typos it's embarassing. Also, the autograder EXPECTS typos in some variable names, so you can't even pass it if your answers are correct.",5
6,Data for Machine Learning by Alberta Machine Intelligence Institute,L S m,"Jun 26, 2020","The experience with the programming assignment was very bad. There was an error that was occurring at frequent intervals which crashed my jupyter notebook, making me to start afresh. I was facing an issue in reopening the notebook where it took a long time and the mathematical notations were also not loaded properly.",3
7,Data for Machine Learning by Alberta Machine Intelligence Institute,Kirke B L,"May 27, 2021","It was a great course except for the 3-hour data cleaning assignment using Jupyter Notebook.  Other Jupyter assignments worked fine, but this was was so extensive that it completely bogged down my (high end) laptop.  After an hour or so every keystroke was slow.  I rebooted and restarted multiple times and I was unable to finish (solely due to the technical challenges).  It took me literally 2 hours to manage to raise by score from 19 to 20 to pass the darn class, struggling to get one more scored point to process and get graded.
Having said that, the instructor is terrific and I found it very informative (primarily as a refresher after a long career in data management, but I learned a number of things too).  Well worth the time invested (not counting the very fustrating technical difficulties mentioned above).",5
8,Data for Machine Learning by Alberta Machine Intelligence Institute,Hen H,"Feb 17, 2021","The lab should be broken down into 3 labs.. it was very long..I wish there would be more hands on practice like that lab! good stuff! jupyter notebook is a great tool..I really enjoyed this course, thank you ! ",5
9,Data for Machine Learning by Alberta Machine Intelligence Institute,Andres L,"Jan 1, 2021","You'll learn how to be aware of your data and address different problems that could significantly affect your machine learning model. Plus, the practical assignment was really enjoyable.",5
