,Course Name,Reviewer Name,Date of Review,Review Content,Rating Star
0,Prepare Data for Exploration by Google,Arjunsiva S,"May 21, 2021","Another useless course in this specialization. The whole course feels like a PR attempt for Google. They care so much about maintaining the colour palette with blue, yellow, green and red (colours in Google logo) but the content is totally useless. This doesn't provide any value. Anyone who is above 18 will definitely know everything in this course. It's a course for 6th graders.",1
1,Prepare Data for Exploration by Google,Bubíková K,"Jun 30, 2021","This course was (again) a waste of time. It's shallow and doesn't contain any useful information. Totaly basic skills again (sorting data in spreadsheets, select+from+where commands in SQL). In section with metadata topic was some theory but no practical excersice.",1
2,Prepare Data for Exploration by Google,Alexandru G,"May 25, 2021",Extremely bad. Very little actual data science practice.,1
3,Prepare Data for Exploration by Google,Farah R,"Aug 9, 2021","As a beginner in SQL and Data analyst world, this course ""Prepare Data for exploration"" open my eyes and enrich my knowledge. I do really enjoy this course. and Excited to move forward. Thank you :)",5
4,Prepare Data for Exploration by Google,Dilara F,"Jul 12, 2021",The content is so basic. I am very disappointed with the courses so far except the first course. The information about Spreadsheets and SQL is so simple and even a begginner can learn more just by reading the relative pages online for half an hour. I have to pay 10 times more because of the currency of my country and feel sorry for my time and money that I spent so far. ,1
5,Prepare Data for Exploration by Google,Rachel L,"Mar 25, 2021",Excellent course that provides a robust introduction to working with databases with Google sheets and SQL. Covers bias and data privacy as well. Gives clear definitions and is well taught and paced.,5
6,Prepare Data for Exploration by Google,Lucas,"Oct 17, 2021","Again another course that is all over the place. You do learn very little about SQL and a lot of theory and concepts that you could read somewhere in less than 15 minutes. At some point I though ""They are finally teaching some technical skills like SQL"" but all of the sudden they jump to how to organize folders and name files and how to create your LinkedIn account. I am very disappointed with this course so far. I hope the next one they teach something meaningful.  ",1
7,Prepare Data for Exploration by Google,Hui Y,"Jun 5, 2021",Too political and too little practical applications. ,1
8,Prepare Data for Exploration by Google,Federico L,"Mar 18, 2021","The course is very educational, the speaker is very clear. However, I encountered a problem with many of the Qwiklabs and with one of the Quizzes.",3
9,Prepare Data for Exploration by Google,Ahmed Y,"Jul 6, 2021",need more illustrate for sql,1
10,Prepare Data for Exploration by Google,Kim S,"Oct 28, 2021","Very theoretical. Nothing really about SQL and how it works. The things with SQL are mostly spoonfed (i.e. ""Enter the following query to get a result"") rather than explained what every function does and means. No practical exercises w.r.t. SQL. For a course that costs 50$ a month, I expected to have extensive knowledge shared with me, dedicated exercises to a whole array of functions and queries, etc. Unfortunately nothing of that all. Just some typical theoretical mumbo-jumbo that ironically is next to useless on the actual job that we are trying to land with this certificate. To actually learn SQL, it seems I will have to take a separate course on Udemy or another platform.",2
